GO_acc	term_type	Term	queryitem	querytotal	bgitem	bgtotal	pvalue	FDR	entries
GO:0016070	P	RNA metabolic process	47	317	1657	37767	6.1e-13	5e-10	// A0A0D3EID7 // A0A0D3D1P8 // A0A0D3EID1 // A0A0D3D1M2 // A0A0D3B9N9 // A0A0D3D1P6 // A0A0D3EIB3 // A0A0D3EIB7 // A0A0D3EIB8 // A0A0D3D1T6 // A0A0D3D1V6 // A0A0D3D1V4 // A0A0D3D1G9 // A0A0D3D1C0 // A0A0D3D1E5 // A0A0D3EI72 // A0A0D3D1G4 // A0A0D3D1H8 // A0A0D3BA30 // A0A0D3EI91 // A0A0D3BA12 // A0A0D3D1H2 // A0A0D3EIG8 // A0A0D3BA59 // A0A0D3BA58 // A0A0D3D1Q5 // A0A0D3EIG5 // A0A0D3D1Q3 // A0A0D3EIG1 // A0A0D3D197 // A0A0D3D1S5 // A0A0D3D1U7 // A0A0D3D1S3 // A0A0D3B9P7 // A0A0D3EIE6 // A0A0D3D141 // A0A0D3D1F7 // A0A0D3D1J7 // A0A0D3D1B9 // A0A0D3B9K0 // A0A0D3D151 // A0A0D3B9J7 // A0A0D3BA06 // A0A0D3D170 // A0A0D3BA04 // A0A0D3D138 // A0A0D3B9N2 
GO:0032774	P	RNA biosynthetic process	31	317	1040	37767	2.3e-09	6.4e-07	// A0A0D3EID7 // A0A0D3D1P8 // A0A0D3D1M2 // A0A0D3EIB3 // A0A0D3EIB7 // A0A0D3EIB8 // A0A0D3D1T6 // A0A0D3D1V6 // A0A0D3D1V4 // A0A0D3D1G9 // A0A0D3D1C0 // A0A0D3D1E5 // A0A0D3EI72 // A0A0D3D1G4 // A0A0D3EI91 // A0A0D3BA12 // A0A0D3EIG8 // A0A0D3EIE6 // A0A0D3D1H8 // A0A0D3D1J7 // A0A0D3D1Q5 // A0A0D3D1Q3 // A0A0D3D1S5 // A0A0D3D1S3 // A0A0D3D1F7 // A0A0D3D141 // A0A0D3D151 // A0A0D3B9J7 // A0A0D3BA06 // A0A0D3D170 // A0A0D3BA04 
GO:0006351	P	transcription, DNA-dependent	31	317	1039	37767	2.3e-09	6.4e-07	// A0A0D3EID7 // A0A0D3D1P8 // A0A0D3D1M2 // A0A0D3EIB3 // A0A0D3EIB7 // A0A0D3EIB8 // A0A0D3D1T6 // A0A0D3D1V6 // A0A0D3D1V4 // A0A0D3D1G9 // A0A0D3D1C0 // A0A0D3D1E5 // A0A0D3EI72 // A0A0D3D1G4 // A0A0D3EI91 // A0A0D3BA12 // A0A0D3EIG8 // A0A0D3EIE6 // A0A0D3D1H8 // A0A0D3D1J7 // A0A0D3D1Q5 // A0A0D3D1Q3 // A0A0D3D1S5 // A0A0D3D1S3 // A0A0D3D1F7 // A0A0D3D141 // A0A0D3D151 // A0A0D3B9J7 // A0A0D3BA06 // A0A0D3D170 // A0A0D3BA04 
GO:0006807	P	nitrogen compound metabolic process	59	317	3826	37767	4.1e-06	0.00068	// A0A0D3EID7 // A0A0D3D1P8 // A0A0D3EID1 // A0A0D3D1M3 // A0A0D3D1M2 // A0A0D3B9N9 // A0A0D3D1P6 // A0A0D3D1R6 // A0A0D3EIB3 // A0A0D3D184 // A0A0D3EIB7 // A0A0D3EIB8 // A0A0D3D1T6 // A0A0D3D1V6 // A0A0D3D1R8 // A0A0D3D1G9 // A0A0D3B9Q6 // A0A0D3D1C0 // A0A0D3D1E5 // A0A0D3D1E4 // A0A0D3EI72 // A0A0D3D1G4 // A0A0D3D1J6 // A0A0D3D1Z9 // A0A0D3D1V4 // A0A0D3BA30 // A0A0D3EI91 // A0A0D3D164 // A0A0D3BA12 // A0A0D3D1H2 // A0A0D3EIG8 // A0A0D3BA59 // A0A0D3BA58 // A0A0D3D1Q5 // A0A0D3EIG5 // A0A0D3D1Q3 // A0A0D3EIG1 // A0A0D3D197 // A0A0D3D1S5 // A0A0D3D1U7 // A0A0D3D1S3 // A0A0D3B9P7 // A0A0D3EIE6 // A0A0D3D1B1 // A0A0D3D141 // A0A0D3D1F1 // A0A0D3D1F7 // A0A0D3D1J7 // A0A0D3D1B9 // A0A0D3B9K0 // A0A0D3D151 // A0A0D3D1H8 // A0A0D3B9K2 // A0A0D3B9J7 // A0A0D3BA06 // A0A0D3D170 // A0A0D3BA04 // A0A0D3D138 // A0A0D3B9N2 
GO:0006139	P	nucleobase, nucleoside, nucleotide and nucleic acid metabolic process	52	317	3198	37767	4e-06	0.00068	// A0A0D3EID7 // A0A0D3D1P8 // A0A0D3EID1 // A0A0D3D1M2 // A0A0D3B9N9 // A0A0D3D1P6 // A0A0D3D1R6 // A0A0D3EIB3 // A0A0D3D184 // A0A0D3EIB7 // A0A0D3EIB8 // A0A0D3D1T6 // A0A0D3D1V6 // A0A0D3D1V4 // A0A0D3D1G9 // A0A0D3D1C0 // A0A0D3D1E5 // A0A0D3D1E4 // A0A0D3EI72 // A0A0D3D1G4 // A0A0D3D1H8 // A0A0D3BA30 // A0A0D3EI91 // A0A0D3D164 // A0A0D3BA12 // A0A0D3D1H2 // A0A0D3EIG8 // A0A0D3BA59 // A0A0D3BA58 // A0A0D3D1Q5 // A0A0D3EIG5 // A0A0D3D1Q3 // A0A0D3EIG1 // A0A0D3D197 // A0A0D3D1S5 // A0A0D3D1U7 // A0A0D3D1S3 // A0A0D3B9P7 // A0A0D3EIE6 // A0A0D3D1B1 // A0A0D3D141 // A0A0D3D1F7 // A0A0D3D1J7 // A0A0D3D1B9 // A0A0D3B9K0 // A0A0D3D151 // A0A0D3B9J7 // A0A0D3BA06 // A0A0D3D170 // A0A0D3BA04 // A0A0D3D138 // A0A0D3B9N2 
GO:0017038	P	protein import	7	317	86	37767	1.3e-05	0.0018	// A0A0D3D1K6 // A0A0D3B9Z7 // A0A0D3D1D7 // A0A0D3D1R6 // A0A0D3D1U7 // A0A0D3EI79 // A0A0D3D1T0 
GO:0034613	P	cellular protein localization	12	317	322	37767	2.7e-05	0.0033	// A0A0D3BA40 // A0A0D3D1K6 // A0A0D3D1Q9 // A0A0D3B9Z7 // A0A0D3D1D7 // A0A0D3EID5 // A0A0D3D1D3 // A0A0D3D1R6 // A0A0D3D1U7 // A0A0D3EI79 // A0A0D3D1A5 // A0A0D3D1T0 
GO:0070727	P	cellular macromolecule localization	12	317	341	37767	4.7e-05	0.0041	// A0A0D3BA40 // A0A0D3D1K6 // A0A0D3D1Q9 // A0A0D3B9Z7 // A0A0D3D1D7 // A0A0D3EID5 // A0A0D3D1D3 // A0A0D3D1R6 // A0A0D3D1U7 // A0A0D3EI79 // A0A0D3D1A5 // A0A0D3D1T0 
GO:0033036	P	macromolecule localization	14	317	462	37767	5.4e-05	0.0041	// A0A0D3BA40 // A0A0D3D1K6 // A0A0D3D1D9 // A0A0D3D1Q9 // A0A0D3B9Z7 // A0A0D3D1J7 // A0A0D3D1D7 // A0A0D3EID5 // A0A0D3D1D3 // A0A0D3D1R6 // A0A0D3D1U7 // A0A0D3EI79 // A0A0D3D1A5 // A0A0D3D1T0 
GO:0006355	P	regulation of transcription, DNA-dependent	22	317	987	37767	4.6e-05	0.0041	// A0A0D3EID7 // A0A0D3D1P8 // A0A0D3D1M2 // A0A0D3EIB3 // A0A0D3EIB8 // A0A0D3D1T6 // A0A0D3EI72 // A0A0D3D1V4 // A0A0D3D1V6 // A0A0D3D141 // A0A0D3BA12 // A0A0D3EIE6 // A0A0D3D1J7 // A0A0D3D1Q5 // A0A0D3D1Q3 // A0A0D3D1S5 // A0A0D3D1S3 // A0A0D3D1F7 // A0A0D3D151 // A0A0D3BA06 // A0A0D3D170 // A0A0D3BA04 
