GO_acc	term_type	Term	queryitem	querytotal	bgitem	bgtotal	pvalue	FDR	entries
GO:0006351	P	transcription, DNA-dependent	95	1130	1039	37767	3.1e-20	5.1e-17	// A0A0D3CWG4 // A0A0D3EIB3 // A0A0D3CWX9 // A0A0D3EIB8 // A0A0D3CY72 // A0A0D3CVM6 // A0A0D3CYK5 // A0A0D3DDG8 // A0A0D3CXP3 // A0A0D3DE68 // A0A0D3DE69 // A0A0D3DDN9 // A0A0D3E4V1 // A0A0D3DDN7 // A0A0D3DDN4 // A0A0D3CWW8 // A0A0D3DDF4 // A0A0D3DEB2 // A0A0D3E4M4 // A0A0D3CX87 // A0A0D3DC61 // A0A0D3EIB7 // A0A0D3CZ52 // A0A0D3DE49 // A0A0D3DDA0 // A0A0D3DEC1 // A0A0D3E4Y9 // A0A0D3CXN0 // A0A0D3CXN1 // A0A0D3DD65 // A0A0D3EIG4 // A0A0D3EIG8 // A0A0D3DBK8 // A0A0D3CWL1 // A0A0D3CZ64 // A0A0D3CYW2 // A0A0D3DD16 // A0A0D3B9J7 // A0A0D3DDX4 // A0A0D3DDX7 // A0A0D2ZVR0 // A0A0D3DBJ4 // A0A0D3E4Y7 // A0A0D3DD89 // A0A0D3CVI3 // A0A0D3CY86 // A0A0D3CY88 // A0A0D3DD86 // A0A0D3CVI9 // A0A0D3DCU4 // A0A0D3CY01 // A0A0D3DCU9 // A0A0D3CY04 // A0A0D3EI91 // A0A0D3DC32 // A0A0D3EIE6 // A0A0D3E4Z1 // A0A0D3CVJ4 // A0A0D3CZA5 // A0A0D3CWJ3 // A0A0D3DDU6 // A0A0D3CX44 // A0A0D3CX45 // A0A0D3DBR4 // A0A0D3BA09 // A0A0D3BA06 // A0A0D3BA04 // A0A0D3E4Q0 // A0A0D3EID7 // A0A0D3DC48 // A0A0D3E4Y3 // A0A0D3CZB0 // A0A0D3CZB2 // A0A0D3DCW5 // A0A0D3EI72 // A0A0D3CZ13 // A0A0D3CZ15 // A0A0D3DBQ4 // A0A0D3DD20 // A0A0D3CXR9 // A0A0D3CZ93 // A0A0D3BA12 // A0A0D3CVS7 // A0A0D3E4T6 // A0A0D3DC52 // A0A0D3CXX5 // A0A0D3CWH1 // A0A0D3DBG7 // A0A0D3CX26 // A0A0D3CY51 // A0A0D3DDD0 // A0A0D3CXK9 // A0A0D3CSQ1 // A0A0D3CSR1 // A0A0D3CYN3 
GO:0032774	P	RNA biosynthetic process	95	1130	1040	37767	3.3e-20	5.1e-17	// A0A0D3CWG4 // A0A0D3EIB3 // A0A0D3CWX9 // A0A0D3EIB8 // A0A0D3CY72 // A0A0D3CVM6 // A0A0D3CYK5 // A0A0D3DDG8 // A0A0D3CXP3 // A0A0D3DE68 // A0A0D3DE69 // A0A0D3DDN9 // A0A0D3E4V1 // A0A0D3DDN7 // A0A0D3DDN4 // A0A0D3CWW8 // A0A0D3DDF4 // A0A0D3DEB2 // A0A0D3E4M4 // A0A0D3CX87 // A0A0D3DC61 // A0A0D3EIB7 // A0A0D3CZ52 // A0A0D3DE49 // A0A0D3DDA0 // A0A0D3DEC1 // A0A0D3E4Y9 // A0A0D3CXN0 // A0A0D3CXN1 // A0A0D3DD65 // A0A0D3EIG4 // A0A0D3EIG8 // A0A0D3DBK8 // A0A0D3CWL1 // A0A0D3CZ64 // A0A0D3CYW2 // A0A0D3DD16 // A0A0D3B9J7 // A0A0D3DDX4 // A0A0D3DDX7 // A0A0D2ZVR0 // A0A0D3DBJ4 // A0A0D3E4Y7 // A0A0D3DD89 // A0A0D3CVI3 // A0A0D3CY86 // A0A0D3CY88 // A0A0D3DD86 // A0A0D3CVI9 // A0A0D3DCU4 // A0A0D3CY01 // A0A0D3DCU9 // A0A0D3CY04 // A0A0D3EI91 // A0A0D3DC32 // A0A0D3EIE6 // A0A0D3E4Z1 // A0A0D3CVJ4 // A0A0D3CZA5 // A0A0D3CWJ3 // A0A0D3DDU6 // A0A0D3CX44 // A0A0D3CX45 // A0A0D3DBR4 // A0A0D3BA09 // A0A0D3BA06 // A0A0D3BA04 // A0A0D3E4Q0 // A0A0D3EID7 // A0A0D3DC48 // A0A0D3E4Y3 // A0A0D3CZB0 // A0A0D3CZB2 // A0A0D3DCW5 // A0A0D3EI72 // A0A0D3CZ13 // A0A0D3CZ15 // A0A0D3DBQ4 // A0A0D3DD20 // A0A0D3CXR9 // A0A0D3CZ93 // A0A0D3BA12 // A0A0D3CVS7 // A0A0D3E4T6 // A0A0D3DC52 // A0A0D3CXX5 // A0A0D3CWH1 // A0A0D3DBG7 // A0A0D3CX26 // A0A0D3CY51 // A0A0D3DDD0 // A0A0D3CXK9 // A0A0D3CSQ1 // A0A0D3CSR1 // A0A0D3CYN3 
GO:0044262	P	cellular carbohydrate metabolic process	56	1130	417	37767	6.5e-19	6.8e-16	// A0A0D3CYU7 // A0A0D3B9L0 // A0A0D3E4M2 // A0A0D3BA47 // A0A0D3BA44 // A0A0D3DC54 // A0A0D3DC06 // A0A0D3DBD2 // A0A0D3DD51 // A0A0D3DBU5 // A0A0D3CXX9 // A0A0D3CVT1 // A0A0D3DBJ2 // A0A0D3DBB3 // A0A0D3CVM4 // A0A0D3CY45 // A0A0D3CSR8 // A0A0D3CVG9 // A0A0D3CY06 // A0A0D3CVT0 // A0A0D3DB97 // A0A0D3CYE3 // A0A0D3DDH4 // A0A0D3EI97 // A0A0D3DDP5 // A0A0D3CVJ2 // A0A0D3CXR1 // A0A0D3CYR2 // A0A0D3DC50 // A0A0D3DD39 // A0A0D3DDN3 // A0A0D3CYS0 // A0A0D3EIG4 // A0A0D3EIG5 // A0A0D3CVS9 // A0A0D3CVH6 // A0A0D3DD38 // A0A0D3DDY1 // A0A0D3CWL7 // A0A0D3CWW7 // A0A0D3DBT4 // A0A0D3DCV8 // A0A0D3CX00 // A0A0D3B9T9 // A0A0D3DBR3 // A0A0D3DD33 // A0A0D3DD35 // A0A0D3DB84 // A0A0D3BA22 // A0A0D3EIC1 // A0A0D3CWE6 // A0A0D3CWC9 // A0A0D3CXZ2 // A0A0D3DBH0 // A0A0D3BA02 // A0A0D3DD32 
GO:0016070	P	RNA metabolic process	122	1130	1657	37767	1.4e-18	1.1e-15	// A0A0D3CWG4 // A0A0D3EIB3 // A0A0D3CWX9 // A0A0D3EIB8 // A0A0D3CWW8 // A0A0D3CVM6 // A0A0D3CYK5 // A0A0D3DDG8 // A0A0D3CXP3 // A0A0D3BA30 // A0A0D3DD43 // A0A0D3DE68 // A0A0D3DE69 // A0A0D3CYR3 // A0A0D3DDN9 // A0A0D3E4V1 // A0A0D3DB71 // A0A0D3DDN7 // A0A0D3E4V9 // A0A0D3DDN4 // A0A0D3CY72 // A0A0D3DBV5 // A0A0D3B9P7 // A0A0D3DDF6 // A0A0D3DDF4 // A0A0D3DEB2 // A0A0D3E4M4 // A0A0D3CX87 // A0A0D3DE74 // A0A0D3DC61 // A0A0D3EIB7 // A0A0D3CZ52 // A0A0D3DE48 // A0A0D3DE49 // A0A0D3DDA5 // A0A0D3DDA0 // A0A0D3DEC1 // A0A0D3E4Y9 // A0A0D3CXN0 // A0A0D3CXN1 // A0A0D3DD65 // A0A0D3EIG4 // A0A0D3CYE8 // A0A0D3EIG8 // A0A0D3DBK8 // A0A0D3EIG5 // A0A0D3EIG1 // A0A0D3CWL1 // A0A0D3CZ64 // A0A0D3DBX5 // A0A0D3DD97 // A0A0D3CYW2 // A0A0D3DD16 // A0A0D3DBL5 // A0A0D3B9J7 // A0A0D3DDX4 // A0A0D3DDX7 // A0A0D2ZVR0 // A0A0D3DBJ4 // A0A0D3CWT3 // A0A0D3E4Y7 // A0A0D3CSR1 // A0A0D3DD89 // A0A0D3CVI3 // A0A0D3CY86 // A0A0D3CY88 // A0A0D3DD86 // A0A0D3CVI9 // A0A0D3DEA3 // A0A0D3DCU4 // A0A0D3EID1 // A0A0D3CY01 // A0A0D3DCU9 // A0A0D3CY04 // A0A0D3B9K0 // A0A0D3EI91 // A0A0D3DC32 // A0A0D3EIE6 // A0A0D3E4Z1 // A0A0D3CVJ4 // A0A0D3CZA5 // A0A0D3CWJ3 // A0A0D3DDU6 // A0A0D3CX44 // A0A0D3CX45 // A0A0D3DBR4 // A0A0D3E4Y3 // A0A0D3BA09 // A0A0D3BA06 // A0A0D3BA04 // A0A0D3E4Q0 // A0A0D3EID7 // A0A0D3CWI9 // A0A0D3B9N2 // A0A0D3DC48 // A0A0D3CZB6 // A0A0D3CZB0 // A0A0D3CZB2 // A0A0D3DCW5 // A0A0D3EI72 // A0A0D3CZ13 // A0A0D3CZ15 // A0A0D3DE83 // A0A0D3DBQ4 // A0A0D3DD20 // A0A0D3CXR9 // A0A0D3CZ93 // A0A0D3BA12 // A0A0D3CVS7 // A0A0D3E4T6 // A0A0D3DC52 // A0A0D3CYP4 // A0A0D3CWH1 // A0A0D3DBG7 // A0A0D3CX26 // A0A0D3CY51 // A0A0D3DDD0 // A0A0D3CXK9 // A0A0D3CSQ1 // A0A0D3DDE2 // A0A0D3CYN3 // A0A0D3CXX5 
GO:0005975	P	carbohydrate metabolic process	80	1130	866	37767	2e-17	1.2e-14	// A0A0D3CYU7 // A0A0D3B9L0 // A0A0D3E4M2 // A0A0D3DDY1 // A0A0D3BA47 // A0A0D3BA44 // A0A0D3CYR2 // A0A0D3CVK4 // A0A0D3DC06 // A0A0D3DBD2 // A0A0D3DD22 // A0A0D3DBU5 // A0A0D3CXX9 // A0A0D3CVT1 // A0A0D3CY84 // A0A0D3CY66 // A0A0D3DBJ2 // A0A0D3BA18 // A0A0D3DBB3 // A0A0D3CXS0 // A0A0D3CVM4 // A0A0D3CY45 // A0A0D3CSR8 // A0A0D3CYK0 // A0A0D3CX81 // A0A0D3CYK2 // A0A0D3BA22 // A0A0D3CY06 // A0A0D3CVT0 // A0A0D3DB97 // A0A0D3E4R4 // A0A0D3CYE3 // A0A0D3DDH4 // A0A0D3CY78 // A0A0D3CSN6 // A0A0D3DDP5 // A0A0D3CVJ2 // A0A0D3CXR1 // A0A0D3DC55 // A0A0D3DDA6 // A0A0D3DC54 // A0A0D3DC50 // A0A0D3DD39 // A0A0D3DDN3 // A0A0D3CYS0 // A0A0D3EIG4 // A0A0D3EIG5 // A0A0D3DC58 // A0A0D3CVS9 // A0A0D3CVJ5 // A0A0D3CX00 // A0A0D3DD38 // A0A0D3CX03 // A0A0D3CWL7 // A0A0D3DDQ3 // A0A0D3DD51 // A0A0D3EI97 // A0A0D3DBJ0 // A0A0D3DBT4 // A0A0D3DBQ3 // A0A0D3DCV8 // A0A0D3CVH6 // A0A0D3DD32 // A0A0D3B9T9 // A0A0D3CYH4 // A0A0D3CXS1 // A0A0D3DBR3 // A0A0D3DD33 // A0A0D3DD35 // A0A0D3DB84 // A0A0D3DC68 // A0A0D3CVG9 // A0A0D3EIC1 // A0A0D3CWE6 // A0A0D3CWC9 // A0A0D3CXZ2 // A0A0D3DBH0 // A0A0D3BA02 // A0A0D3CY36 // A0A0D3CWW7 
GO:0006996	P	organelle organization	57	1130	640	37767	3.5e-12	1.8e-09	// A0A0D3CWI9 // A0A0D3CWE6 // A0A0D3E4N7 // A0A0D3EID1 // A0A0D3B9S8 // A0A0D3DBD2 // A0A0D3DC48 // A0A0D3EIB3 // A0A0D3DBJ2 // A0A0D3DD89 // A0A0D3CY86 // A0A0D3B9S6 // A0A0D3DBB2 // A0A0D3EI72 // A0A0D3CVS2 // A0A0D3CY09 // A0A0D3CWZ1 // A0A0D3CSR1 // A0A0D3CSP8 // A0A0D3DBS7 // A0A0D3DE46 // A0A0D3CYG7 // A0A0D3CYA8 // A0A0D3E4P9 // A0A0D3CYV4 // A0A0D3CYV0 // A0A0D3CXX8 // A0A0D3DC32 // A0A0D3DBK1 // A0A0D3CVL3 // A0A0D3E4T7 // A0A0D3E4V3 // A0A0D3CVJ2 // A0A0D3EIG5 // A0A0D3CYP4 // A0A0D3CVS8 // A0A0D3CZ64 // A0A0D3EI65 // A0A0D3DDB6 // A0A0D3DD95 // A0A0D3CY75 // A0A0D3B9Z7 // A0A0D3DBV5 // A0A0D3B9P7 // A0A0D3DC63 // A0A0D3DDF6 // A0A0D3CYH7 // A0A0D3DDD1 // A0A0D3B9T3 // A0A0D3DBR3 // A0A0D3DEB1 // A0A0D3DBR4 // A0A0D3DD16 // A0A0D3DEB2 // A0A0D3DBL4 // A0A0D3DDX7 // A0A0D3BA12 
GO:0045893	P	positive regulation of transcription, DNA-dependent	12	1130	22	37767	1e-10	4.6e-08	// A0A0D3EID7 // A0A0D3DC32 // A0A0D3DEB2 // A0A0D3EIG4 // A0A0D3CXX5 // A0A0D3CY01 // A0A0D3DD16 // A0A0D3CSR1 // A0A0D3EIB3 // A0A0D3CZ64 // A0A0D3CY86 // A0A0D3DDX4 
GO:0051254	P	positive regulation of RNA metabolic process	12	1130	23	37767	1.5e-10	6e-08	// A0A0D3EID7 // A0A0D3DC32 // A0A0D3DEB2 // A0A0D3EIG4 // A0A0D3CXX5 // A0A0D3CY01 // A0A0D3DD16 // A0A0D3CSR1 // A0A0D3EIB3 // A0A0D3CZ64 // A0A0D3CY86 // A0A0D3DDX4 
GO:0006355	P	regulation of transcription, DNA-dependent	70	1130	987	37767	2e-10	6.8e-08	// A0A0D3EID7 // A0A0D2ZVR0 // A0A0D3DBJ4 // A0A0D3E4Y9 // A0A0D3DC48 // A0A0D3E4M4 // A0A0D3EIB3 // A0A0D3DDX4 // A0A0D3CZB0 // A0A0D3CZB2 // A0A0D3CY86 // A0A0D3CVJ4 // A0A0D3EIB8 // A0A0D3DCW5 // A0A0D3DD86 // A0A0D3CVI9 // A0A0D3CWW8 // A0A0D3CVM6 // A0A0D3DCU4 // A0A0D3CZ15 // A0A0D3DDA0 // A0A0D3DBQ4 // A0A0D3EI72 // A0A0D3CXN0 // A0A0D3CXN1 // A0A0D3CY04 // A0A0D3DD20 // A0A0D3CVI3 // A0A0D3CXP3 // A0A0D3CWX9 // A0A0D3CSQ1 // A0A0D3E4Y7 // A0A0D3DBK8 // A0A0D3BA12 // A0A0D3CVS7 // A0A0D3DC32 // A0A0D3DDN9 // A0A0D3E4T6 // A0A0D3E4V1 // A0A0D3EIE6 // A0A0D3DC52 // A0A0D3E4Z1 // A0A0D3EIG4 // A0A0D3DDN7 // A0A0D3CXX5 // A0A0D3CWH1 // A0A0D3CY01 // A0A0D3DBG7 // A0A0D3CZ64 // A0A0D3CWJ3 // A0A0D3CZ93 // A0A0D3CX26 // A0A0D3CY72 // A0A0D3DDU6 // A0A0D3BA04 // A0A0D3CX45 // A0A0D3DD89 // A0A0D3CY51 // A0A0D3DEB2 // A0A0D3DDF4 // A0A0D3DBR4 // A0A0D3CX87 // A0A0D3DD16 // A0A0D3CSR1 // A0A0D3E4Y3 // A0A0D3BA06 // A0A0D3DC61 // A0A0D3CYW2 // A0A0D3DE69 // A0A0D3CY88 
GO:0051252	P	regulation of RNA metabolic process	70	1130	996	37767	2.8e-10	8.8e-08	// A0A0D3EID7 // A0A0D2ZVR0 // A0A0D3DBJ4 // A0A0D3E4Y9 // A0A0D3DC48 // A0A0D3E4M4 // A0A0D3EIB3 // A0A0D3DDX4 // A0A0D3CZB0 // A0A0D3CZB2 // A0A0D3CY86 // A0A0D3CVJ4 // A0A0D3EIB8 // A0A0D3DCW5 // A0A0D3DD86 // A0A0D3CVI9 // A0A0D3CWW8 // A0A0D3CVM6 // A0A0D3DCU4 // A0A0D3CZ15 // A0A0D3DDA0 // A0A0D3DBQ4 // A0A0D3EI72 // A0A0D3CXN0 // A0A0D3CXN1 // A0A0D3CY04 // A0A0D3DD20 // A0A0D3CVI3 // A0A0D3CXP3 // A0A0D3CWX9 // A0A0D3CSQ1 // A0A0D3E4Y7 // A0A0D3DBK8 // A0A0D3BA12 // A0A0D3CVS7 // A0A0D3DC32 // A0A0D3DDN9 // A0A0D3E4T6 // A0A0D3E4V1 // A0A0D3EIE6 // A0A0D3DC52 // A0A0D3E4Z1 // A0A0D3EIG4 // A0A0D3DDN7 // A0A0D3CXX5 // A0A0D3CWH1 // A0A0D3CY01 // A0A0D3DBG7 // A0A0D3CZ64 // A0A0D3CWJ3 // A0A0D3CZ93 // A0A0D3CX26 // A0A0D3CY72 // A0A0D3DDU6 // A0A0D3BA04 // A0A0D3CX45 // A0A0D3DD89 // A0A0D3CY51 // A0A0D3DEB2 // A0A0D3DDF4 // A0A0D3DBR4 // A0A0D3CX87 // A0A0D3DD16 // A0A0D3CSR1 // A0A0D3E4Y3 // A0A0D3BA06 // A0A0D3DC61 // A0A0D3CYW2 // A0A0D3DE69 // A0A0D3CY88 
